company,industry,companySize,signal,firstname,lastname,jobTitle,profileUrl
Encom Conseil,Telecommunications,23,Levee de fonds < 6 mois,Jean-Marc,Guibert,Co-Fondateur | CEO chez Encom | Télécommunications,https://www.linkedin.com/in/jeanmarc-guibert
Carbon Bee,Information Technology & Services,13,Levee de fonds < 6 mois,Gérald,Germain,CEO Founder Carbon Bee,https://www.linkedin.com/in/gérald-germain-bb8a4699
"Global Regulatory Partners, Inc.",Pharmaceuticals,25,Levee de fonds < 6 mois,Mikaela,Dimitriu,"Business Strategy,  Medical Affairs , Patient Engagement for Medical Devices, and Pharmaceuticals",https://www.linkedin.com/in/mikaeladimitriu
Popsink,Computer Software,11,Levee de fonds < 6 mois,Benjamin,Djidi,"Sync data between existing and new systems 🤝 Co-Founder, CEO @ Popsink",https://www.linkedin.com/in/benjamindjidi
REVERS.IO,Internet,46,Levee de fonds < 6 mois,Vincent,TORRES,Founder - CEO - Revers.io,https://www.linkedin.com/in/vincenttorres
SnapEvent,Events Services,24,Levee de fonds < 6 mois,Olivier,Levy,CEO @ SnapEvent,https://www.linkedin.com/in/olivier-levy
Doctreen,"Health, Wellness & Fitness",21,Levee de fonds < 6 mois,Raphael,Ruiz,CEO & Associé chez Doctreen Radiology | Expert en solutions numériques pour la radiologie,https://www.linkedin.com/in/raphael-ruiz
Aegerter,Wine & Spirits,23,Levee de fonds < 6 mois,Paul,Aegerter,🍇 Vigneron passionné en Bourgogne et Provence 🍷 Expert des terroirs🌿 Enthousiaste du sport et de la nature Créons ensemble des vins d’exception ! 🌟,https://www.linkedin.com/in/paul-aegerter-a7044a115
BARNES Miami,Gambling & Casinos,14,Levee de fonds < 6 mois,Meyer,Zana,Founder & CEO at Worldwide Development & Broker Associate at Barnes International,https://www.linkedin.com/in/meyer-zana-19a52797
BOXIA,Information Technology & Services,13,Levee de fonds < 6 mois,Stephen,Zana,CEO chez Boxia.                                                 Nous permettons aux entreprises d'augmenter la satisfaction de leurs clients grâce à un suivi de livraison proactif et personnalisé 💻📦,https://www.linkedin.com/in/stephen-zana
